id,address,price,floor,total_floors,rooms,square,city,remont,balcon,uid,view,year,type_perec,hot_water,fundament,kitchen
0,"улица Туполева, 15",3100000,9,9,1,36.4,Воронеж,standard,1,2059802857,garden,1986,Железобетонный,0.0,0.0,"8,5 м2"
1,"улица Фёдора Тютчева, 99",3270000,4,9,1,30.0,Воронеж,standard,1,2059678399,garden,2011,Железобетонный,0.0,0.0,0
2,"улица Фёдора Тютчева, 95Е",3350000,1,9,1,32.4,Воронеж,standard,1,2057432696,garden,2013,Железобетонный,0.0,0.0,9 м2
3,"переулок Парашютистов, 6",2800000,5,5,1,30.4,Воронеж,standard,1,2059084407,garden,1970,Железобетонный,0.0,0.0,6 м2
4,"улица Чебышева, 16",2100000,2,5,1,30.2,Воронеж,standard,1,2059631819,garden,1976,0,0.0,0.0,6 м2
5,"улица Берёзовая Роща, 2Б",3700000,3,9,1,38.7,Воронеж,standard,1,2059803321,garden,1971,Железобетонный,0.0,Ленточный,6 м2
6,"улица 45-й Стрелковой Дивизии, 275/2",3950000,16,17,1,38.0,Воронеж,standard,1,2056822518,garden,2015,Железобетонный,0.0,Сплошной,"10,3 м2"
7,"Беговая улица, 223/2",5000000,2,18,1,42.0,Воронеж,standard,1,2059437505,garden,2018,0,0.0,0,10 м2
8,"проспект Патриотов, 51",2500000,5,5,1,24.9,Воронеж,standard,1,2059632335,garden,1987,Железобетонный,Закрытая с приготовлением горячей воды на ЦТП,Иной,"7,5 м2"
9,"улица Героев Сибиряков, 101",3400000,6,12,1,34.0,Воронеж,standard,1,2057410820,garden,1973,Железобетонный,0,0,"9,6 м2"
10,"Политехнический переулок, 3",3100000,1,9,1,40.0,Воронеж,standard,1,1816535628,garden,1988,Железобетонный,0,0,10 м2
11,"улица Антокольского, 10",2450000,3,5,1,36.2,Воронеж,standard,1,2056004151,garden,1988,Железобетонный,0,Иной,"7,8 м2"
12,"улица Маршала Неделина, 27",3600000,4,10,1,29.6,Воронеж,standard,1,2058048944,garden,2004,Железобетонный,0,0,"8,5 м2"
13,"улица Владимира Невского, 34А",4950000,9,16,1,43.0,Воронеж,standard,1,2059849729,garden,2007,Железобетонный,Закрытая с приготовлением горячей воды на ЦТП,Иной,9 м2
14,"проспект Патриотов, 12",2800000,4,5,1,32.5,Воронеж,standard,1,2059719739,garden,1969,Железобетонный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Ленточный,"6,6 м2"
15,"Олимпийский бульвар, 12",4800000,3,17,1,40.2,Воронеж,standard,1,2059729257,garden,2015,Железобетонный,0,0,"10,7 м2"
16,"Ленинский проспект, 21",4000000,2,13,1,44.1,Воронеж,standard,1,2059644781,garden,1997,Железобетонный,0,0,9 м2
17,"улица 45-й Стрелковой Дивизии, 108",4699000,2,13,1,39.3,Воронеж,standard,1,2058510755,garden,2014,Железобетонный,Закрытая с приготовлением горячей воды на ЦТП,Иной,11 м2
18,"улица 9 Января, 274",1200000,3,9,1,16.6,Воронеж,standard,1,2058899319,garden,1974,Железобетонный,Центральное,0,0
19,"улица Миронова, 43",4499000,7,10,1,42.0,Воронеж,standard,1,2059217040,garden,2008,Железобетонный,0,0,13 м2
20,"улица Хользунова, 38/4",4140000,1,17,1,35.2,Воронеж,standard,1,2059144561,garden,2016,0,0,0,"8,2 м2"
21,"улица Владимира Невского, 39Д",5100000,1,10,1,54.0,Воронеж,standard,1,2039728252,garden,2006,Железобетонный,0,Ленточный,"18,7 м2"
22,"улица Менделеева, 25",3100000,10,10,1,36.0,Воронеж,standard,1,1920660152,garden,1993,Железобетонный,0,0,8 м2
23,"улица Героев Сибиряков, 91",3250000,4,5,1,32.9,Воронеж,standard,1,2059724556,garden,1967,Железобетонный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Ленточный,6 м2
24,"улица Владимира Невского, 39Б",3990000,3,10,1,39.5,Воронеж,standard,1,2057982020,garden,2005,Железобетонный,0,Ленточный,11 м2
25,"улица Суворова, 122А",4130000,2,25,1,41.1,Воронеж,standard,1,2058489417,garden,2017,Железобетонный,Центральное,0,"11,7 м2"
26,"улица Академика Конопатова, 11",5200000,16,16,1,46.3,Воронеж,standard,1,2056324068,garden,2017,Железобетонный,0,0,"10,4 м2"
27,"Беговая улица, 225",5000000,12,13,1,44.5,Воронеж,standard,1,2059577955,garden,2014,Железобетонный,Закрытая с приготовлением горячей воды на ЦТП,Иной,12 м2
28,"Ленинский проспект, 10А",4950000,6,10,1,35.1,Воронеж,standard,1,2059676517,garden,2007,Железобетонный,0,Иной,"8,2 м2"
29,"Майская улица, 33А",2400000,3,5,1,32.5,Воронеж,standard,1,2058063563,garden,1987,Железобетонный,Закрытая с приготовлением горячей воды на ЦТП,0,8 м2
30,"Московский проспект, 110Д",5100000,17,17,1,42.1,Воронеж,standard,1,2058592155,garden,2015,Железобетонный,0,Ленточный,11 м2
31,"улица 45-й Стрелковой Дивизии, 125",4500000,9,10,1,41.4,Воронеж,standard,1,2057071200,garden,1995,Железобетонный,0,0,"10,6 м2"
32,"Томилинская улица, 246А",1400000,4,5,1,17.8,Оренбург,standard,1,2059678167,garden,1966,Железобетонный,0,0,3 м2
33,"Туркестанская улица, 23",1900000,7,9,1,21.7,Оренбург,standard,1,2059867881,garden,1976,Железобетонный,Центральное,0,"6,3 м2"
34,"Станочный переулок, 6",1980000,4,5,1,30.0,Оренбург,standard,1,2056469664,garden,1965,Железобетонный,0,Ленточный,6 м2
35,"Пролетарская улица, 310А",2190000,9,9,1,29.0,Оренбург,standard,1,2059558927,garden,1982,Железобетонный,0,Ленточный,6 м2
36,"Мало-Ленинская улица, 167/2",3999900,5,18,1,35.0,Оренбург,standard,1,2059733928,garden,2016,Железобетонный,0,Сплошной,"10,8 м2"
37,"1-й проезд Кривцова, 1/1",2050000,3,5,1,30.0,Оренбург,standard,1,2059862119,garden,1970,Железобетонный,0,Ленточный,6 м2
38,"улица Котова, 103",2450000,3,5,1,29.0,Оренбург,standard,1,2057909897,garden,1963,Железобетонный,0,0,5 м2
39,"улица Ямашева, 6/1",2850000,13,14,1,34.5,Оренбург,standard,1,1995563657,garden,2022,Железобетонный,Центральное,0,10 м2
40,"улица Ямашева, 6/1",2749900,1,14,1,37.5,Оренбург,standard,1,2059654837,garden,2022,Железобетонный,Центральное,0,8 м2
41,"проспект Гагарина, 39/3",3049000,2,14,1,36.0,Оренбург,standard,1,2059303871,garden,2001,Железобетонный,0,0,10 м2
42,"улица Автомобилистов, 2/1",4000000,12,16,1,56.5,Оренбург,standard,1,1706463661,garden,2012,0,0,0,0
43,"Томилинская улица, 242А",2400000,7,9,1,32.6,Оренбург,standard,1,2056966936,garden,1969,0,0,0,8 м2
44,"улица Герцена, 47",4400000,10,12,1,50.0,Оренбург,standard,1,2058294153,garden,2011,Железобетонный,0,0,12 м2
45,"Салмышская улица, 43/2",4000000,3,12,1,38.9,Оренбург,standard,1,2058713102,garden,2014,Железобетонный,0,0,10 м2
46,"Промышленная улица, 9",2300000,5,5,1,29.0,Оренбург,standard,1,2059835071,garden,1976,Железобетонный,0,Ленточный,5 м2
47,"улица Хользунова, 102В",4550000,10,16,1,40.1,Воронеж,design,1,2057443611,garden,2011,Железобетонный,0,Свайный,"11,4 м2"
48,"Беговая улица, 223/4",4099000,13,18,1,30.0,Воронеж,design,1,2056942426,garden,2016,Железобетонный,0,0,8 м2
49,"Ленинский проспект, 96А",5900000,10,13,1,45.0,Воронеж,design,1,2059718650,garden,2012,Железобетонный,0,0,9 м2
50,"Московский проспект, 147",5799999,5,16,1,43.7,Воронеж,design,1,2059873577,garden,2009,Железобетонный,0,0,13 м2
51,"улица Морозова, 29",7980000,4,9,1,63.0,Воронеж,design,1,1857503609,garden,2005,Железобетонный,0,0,"16,6 м2"
52,"улица Кривошеина, 13/13",6700000,16,17,1,40.2,Воронеж,design,1,2057842677,garden,2018,Железобетонный,Центральное,0,10 м2
53,"Ливенская улица, 30Г",3100000,1,5,1,35.8,Орёл,standard,1,2059831653,garden,2005,Железобетонный,0,Ленточный,"8,9 м2"
54,"Межевой переулок, 15",3800000,1,9,1,40.9,Орёл,standard,1,2059578636,garden,2009,Железобетонный,0,Ленточный,0
55,"Межевой переулок, 15",3800000,1,9,1,40.9,Орёл,standard,1,2059578825,garden,2009,Железобетонный,0,Ленточный,0
56,"улица Игнатова, 25А",2490000,5,5,1,33.0,Орёл,standard,1,2057981245,garden,1987,Железобетонный,0,Бетонные столбы,6 м2
57,"Артельный переулок, 8",3590000,3,9,1,45.7,Орёл,standard,1,2058967099,garden,2001,Железобетонный,0,0,"11,4 м2"
58,"Кромская улица, 23",4250000,4,9,1,42.5,Орёл,standard,1,2059471169,garden,2012,Железобетонный,0,Иной,"10,2 м2"
59,"улица Гагарина, 22",2370000,5,5,1,30.0,Орёл,standard,1,2059546044,garden,1966,Железобетонный,0,0,6 м2
60,"улица Родзевича-Белевича, 20",3499000,9,10,1,36.5,Орёл,standard,1,2056941649,garden,2023,Железобетонный,0,0,9 м2
61,"улица Алроса, 9",3899000,2,10,1,40.9,Орёл,standard,1,2057013313,garden,2010,Железобетонный,0,0,11 м2
62,"улица Машкарина, 8",3100000,4,9,1,35.9,Орёл,standard,1,1831182014,garden,1993,Железобетонный,0,0,8 м2
63,"улица Максима Горького, 172",6700000,10,16,1,45.0,Орёл,standard,1,2059389963,garden,2015,Железобетонный,0,0,14 м2
64,"Карачевское шоссе, 102",3650000,2,9,1,38.7,Орёл,standard,1,2058704355,garden,2014,Монолитный,0,0,"9,8 м2"
65,"улица Металлургов, 19Б",3500000,1,10,1,38.1,Орёл,standard,1,2059824744,garden,2006,Железобетонный,0,Ленточный,"8,9 м2"
66,"Соляной переулок, 20",2600000,4,5,1,31.0,Оренбург,design,1,2059465405,garden,1970,Железобетонный,0,Ленточный,7 м2
67,"улица Поляничко, 12",4999000,9,16,1,48.0,Оренбург,design,1,1664049955,garden,2017,Железобетонный,0,Сплошной,"13,5 м2"
68,"проспект Красного Знамени, 46",8100000,14,14,1,45.8,Владивосток,standard,1,2059723280,garden,1991,Железобетонный,0,0,0
69,"улица Адмирала Кузнецова, 86",7100000,1,5,1,50.7,Владивосток,standard,1,2058689725,garden,2005,Железобетонный,Центральное,0,14 м2
70,"проспект 100-летия Владивостока, 55",6550000,3,9,1,31.0,Владивосток,standard,1,2059718477,garden,1964,Железобетонный,0,0,5 м2
71,"улица Адмирала Юмашева, 6А",5400000,3,5,1,30.5,Владивосток,standard,1,2059576369,garden,1961,Железобетонный,0,Иной,6 м2
72,"улица Калинина, 231",4350000,3,3,1,29.9,Владивосток,standard,1,2058943033,garden,1961,Железобетонный,0,Иной,"4,8 м2"
73,"Стрелковая улица, 46",8350000,4,5,1,55.6,Владивосток,standard,1,2059794749,garden,2006,Железобетонный,0,Сборный,0
74,"Саратовская улица, 11",6000000,2,5,1,31.0,Владивосток,standard,1,2059487928,garden,1966,Железобетонный,0,Иной,5 м2
75,"улица Зои Космодемьянской, 13А",4600000,5,5,1,30.9,Владивосток,standard,1,2058741722,garden,1970,Железобетонный,0,Ленточный,7 м2
76,"проспект 100-летия Владивостока, 30В",5500000,3,5,1,32.5,Владивосток,standard,1,2059843361,garden,1961,Железобетонный,0,Ленточный,"5,6 м2"
77,"улица 60-летия Октября, 22",3550000,3,5,1,29.2,Орёл,design,1,2059892899,garden,1968,Железобетонный,0,Бетонные столбы,8 м2
78,"улица Андрианова, 39",4999000,12,16,1,41.6,Орёл,design,1,1942891930,garden,2018,0,0,0,0
